Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.03     28.40     0.01   145896     0.00     0.00  x264_decimate_score16
  0.03     28.41     0.01   122828     0.00     0.00  x264_mb_mc_8x8
  0.03     28.42     0.01   104548     0.00     0.00  x264_mb_cache_mv_b8x8
  0.03     28.43     0.01    87912     0.00     0.00  x264_mb_predict_mv_direct16x16
  0.03     28.44     0.01    86640     0.00     0.00  x264_pixel_satd_8x16
  0.03     28.45     0.01    40091     0.00     0.00  block_residual_write_cabac
  0.03     28.46     0.01    38856     0.00     0.00  add8x8_idct8
  0.03     28.47     0.01    38856     0.00     0.00  dequant_8x8
  0.03     28.48     0.01    30216     0.00     0.00  deblock_h_chroma_c
  0.03     28.49     0.01    26653     0.00     0.00  x264_cabac_mb_type
  0.03     28.50     0.01    21916     0.00     0.00  x264_decimate_score64
  0.03     28.51     0.01    16164     0.00     0.00  block_residual_write_cabac_8x8
  0.03     28.52     0.01    14861     0.00     0.00  x264_mb_analyse_inter_b8x8
  0.03     28.53     0.01     9536     0.00     0.00  x264_cabac_mb8x8_mvd
  0.03     28.54     0.01     8547     0.00     0.00  x264_slicetype_frame_cost
  0.03     28.55     0.01       78     0.00     0.00  x264_macroblock_tree_finish
  0.03     28.56     0.01        1     0.01     0.01  x264_cqm_init
  0.03     28.57     0.01                             __divdi3
  0.02     28.57     0.01    17102     0.00     0.00  x264_macroblock_probe_skip
  0.02     28.58     0.01     1141     0.00     0.00  quant_4x4_dc
  0.00     28.58     0.00   946919     0.00     0.00  x264_pixel_sad_x4_16x16
  0.00     28.58     0.00   645025     0.00     0.00  x264_pixel_sa8d_8x8
  0.00     28.58     0.00   488930     0.00     0.00  x264_mb_predict_mv_16x16
  0.00     28.58     0.00   455718     0.00     0.00  x264_pixel_hadamard_ac_16x16
  0.00     28.58     0.00   358521     0.00     0.00  x264_emms
  0.00     28.58     0.00   268488     0.00     0.00  prefetch_fenc_null
  0.00     28.58     0.00   268488     0.00     0.00  x264_prefetch_fenc
  0.00     28.58     0.00   247465     0.00     0.00  mc_copy_w16
  0.00     28.58     0.00   208700     0.00     0.00  predict_8x8c_v
  0.00     28.58     0.00   203184     0.00     0.00  predict_8x8_ddl
  0.00     28.58     0.00   203070     0.00     0.00  predict_8x8_vr
  0.00     28.58     0.00   202725     0.00     0.00  predict_8x8_ddr
  0.00     28.58     0.00   202495     0.00     0.00  predict_8x8_hd
  0.00     28.58     0.00   179611     0.00     0.00  x264_cabac_encode_bypass
  0.00     28.58     0.00   147607     0.00     0.00  x264_coeff_last16
  0.00     28.58     0.00   128189     0.00     0.00  sub8x8_dct_dc
  0.00     28.58     0.00   119100     0.00     0.00  x264_ratecontrol_qp
  0.00     28.58     0.00   118800     0.00     0.00  ac_energy_mb
  0.00     28.58     0.00   118800     0.00     0.00  x264_adaptive_quant
  0.00     28.58     0.00   118800     0.00     0.00  x264_bitstream_check_buffer
