Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.04     22.08     0.01    92638     0.00     0.00  predict_8x8c_v
  0.04     22.09     0.01    59400     0.00     0.00  x264_pixel_var_8x8
  0.04     22.10     0.01    49482     0.00     0.00  x264_mb_analyse_intra_chroma
  0.04     22.11     0.01    29700     0.00     0.00  ac_energy_mb
  0.04     22.12     0.01    29700     0.00     0.00  predict_8x8_ddr
  0.04     22.13     0.01    29700     0.00     0.00  predict_8x8_hd
  0.04     22.14     0.01    29700     0.00     0.00  predict_8x8_vr
  0.04     22.15     0.01    29435     0.00     0.02  x264_intra_rd
  0.04     22.16     0.01    28535     0.00     0.00  predict_16x16_v
  0.04     22.17     0.01    27737     0.00     0.00  predict_16x16_dc
  0.04     22.18     0.01    14407     0.00     0.00  bs_write_ue
  0.04     22.19     0.01     8400     0.00     0.00  plane_expand_border
  0.04     22.20     0.01     7283     0.00     0.00  quant_4x4_dc
  0.04     22.21     0.01     6016     0.00     0.00  deblock_v_luma_intra_c
  0.04     22.22     0.01      994     0.01     0.01  add16x16_idct_dc
  0.04     22.23     0.01       75     0.13     1.33  x264_adaptive_quant_frame
  0.04     22.24     0.01       75     0.13   277.41  x264_slice_write
  0.00     22.24     0.00   365779     0.00     0.00  x264_pixel_satd_8x16
  0.00     22.24     0.00   356156     0.00     0.00  x264_pixel_satd_16x8
  0.00     22.24     0.00   229853     0.00     0.00  predict_4x4_hd
  0.00     22.24     0.00   223971     0.00     0.00  predict_4x4_v
  0.00     22.24     0.00   214810     0.00     0.00  predict_4x4_ddr
  0.00     22.24     0.00   134267     0.00     0.00  x264_analyse_update_cache
  0.00     22.24     0.00   124665     0.00     0.00  sub16x16_dct
  0.00     22.24     0.00   123044     0.00     0.00  x264_mb_mc_8x8
  0.00     22.24     0.00   118800     0.00     0.00  copy_column8
  0.00     22.24     0.00   117740     0.00     0.00  x264_pixel_sa8d_8x8
  0.00     22.24     0.00   117382     0.00     0.00  x264_mb_mc
  0.00     22.24     0.00   110730     0.00     0.00  x264_mb_predict_mv_16x16
  0.00     22.24     0.00   104439     0.00     0.00  cavlc_mb_mvd
  0.00     22.24     0.00    89638     0.00     0.00  x264_emms
  0.00     22.24     0.00    89100     0.00     0.00  prefetch_fenc_null
  0.00     22.24     0.00    88542     0.00     0.00  predict_8x8c_p
  0.00     22.24     0.00    58608     0.00     0.00  prefetch_ref_null
  0.00     22.24     0.00    47914     0.00     0.00  cavlc_mb_mvd
  0.00     22.24     0.00    47798     0.00     0.00  x264_free
  0.00     22.24     0.00    37443     0.00     0.00  bs_write_te
  0.00     22.24     0.00    32375     0.00     0.00  predict_16x16_h
  0.00     22.24     0.00    29775     0.00     0.00  x264_ratecontrol_qp
  0.00     22.24     0.00    29700     0.00     0.00  predict_8x8_ddl
  0.00     22.24     0.00    29700     0.00     0.00  predict_8x8_filter
  0.00     22.24     0.00    29700     0.00     0.00  predict_8x8_hu
  0.00     22.24     0.00    29700     0.00     0.00  predict_8x8_vl
  0.00     22.24     0.00    29700     0.00     0.00  x264_adaptive_quant
  0.00     22.24     0.00    29700     0.00     0.00  x264_prefetch_fenc
  0.00     22.24     0.00    29700     0.00     0.00  x264_ratecontrol_mb
  0.00     22.24     0.00    27797     0.00     0.00  x264_mb_analyse_transform_rd
  0.00     22.24     0.00    10406     0.00     0.00  bs_write1
  0.00     22.24     0.00     7283     0.00     0.00  dct4x4dc
  0.00     22.24     0.00     7171     0.00     0.00  dequant_4x4_dc
  0.00     22.24     0.00     7171     0.00     0.00  idct4x4dc
  0.00     22.24     0.00     5855     0.00     0.00  deblock_h_luma_intra_c
  0.00     22.24     0.00     4393     0.00     0.00  bs_write
  0.00     22.24     0.00     4184     0.00     0.00  sub8x8_dct_dc
  0.00     22.24     0.00     4176     0.00     0.00  predict_8x8c_dc_left
  0.00     22.24     0.00     4039     0.00     0.00  predict_4x4_dc_left
  0.00     22.24     0.00     2460     0.00     0.00  predict_8x8c_dc_top
  0.00     22.24     0.00     2257     0.00     0.51  x264_slicetype_frame_cost
  0.00     22.24     0.00     1933     0.00     0.00  predict_4x4_dc_top
  0.00     22.24     0.00     1681     0.00     0.00  predict_16x16_dc_left
  0.00     22.24     0.00     1425     0.00     0.60  x264_fdec_filter_row
  0.00     22.24     0.00     1350     0.00     0.00  x264_frame_expand_border
  0.00     22.24     0.00     1350     0.00     0.00  x264_frame_expand_border_filtered
  0.00     22.24     0.00     1350     0.00     0.42  x264_frame_filter
