Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.05    327.88     0.17  6644006     0.00     0.00  x264_coeff_last15
  0.05    328.06     0.17  2039611     0.00     0.00  predict_8x8_ddr
  0.05    328.23     0.17  2289952     0.00     0.00  x264_mb_mc_8x8
  0.05    328.40     0.17  2205546     0.00     0.00  predict_8x8_filter
  0.05    328.56     0.15  3180436     0.00     0.00  x264_cabac_mb_ref
  0.05    328.71     0.15  2845319     0.00     0.00  x264_cabac_mb_cbp_luma
  0.04    328.85     0.14  7006268     0.00     0.00  x264_cabac_encode_bypass
  0.04    328.99     0.14  2099014     0.00     0.00  predict_8x8_hu
  0.04    329.13     0.14    12114     0.00     0.00  x264_frame_deblock_row
  0.04    329.26     0.13  3483949     0.00     0.00  x264_mb_predict_mv_16x16
  0.04    329.39     0.13  1608968     0.00     0.00  x264_mb_cache_mv_b8x8
  0.04    329.52     0.13   705344     0.00     0.00  x264_decimate_score64
  0.04    329.65     0.13    79385     0.00     0.00  x264_slicetype_frame_cost
  0.04    329.78     0.13                             __chkstk
  0.04    329.90     0.12   525492     0.00     0.00  x264_mb_analyse_inter_b16x16
  0.04    330.02     0.12  2033359     0.00     0.00  predict_8x8_ddl
  0.04    330.14     0.12  1734067     0.00     0.00  predict_4x4_vl
  0.04    330.26     0.12   525492     0.00     0.00  x264_mb_predict_mv_direct16x16_spatial
  0.03    330.38     0.12  1653625     0.00     0.00  x264_cabac_mb_qp_delta
  0.03    330.49     0.11  3168000     0.00     0.00  copy_column8
  0.03    330.60     0.11  1595908     0.00     0.00  zigzag_scan_8x8_frame
  0.03    330.70     0.10  5142825     0.00     0.00  x264_mb_load_mv_direct8x8
  0.03    330.80     0.10  6076224     0.00     0.00  mc_copy_w8
  0.03    330.89     0.10  1013344     0.00     0.00  predict_8x8_v
  0.03    330.98     0.09  1213142     0.00     0.00  predict_8x8_dc
