Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.04     26.61     0.01   327346     0.00     0.00  add8x8_idct
  0.04     26.62     0.01   246121     0.00     0.00  x264_mb_load_mv_direct8x8
  0.04     26.63     0.01   235873     0.00     0.00  x264_cabac_mb_type
  0.04     26.64     0.01   182076     0.00     0.00  x264_mb_cache_mv_b8x8
  0.04     26.65     0.01   179228     0.00     0.00  x264_mb_cache_mv_p8x8
  0.04     26.66     0.01   164295     0.00     0.00  x264_pixel_sad_x4_8x16
  0.04     26.67     0.01   152612     0.00     0.00  predict_8x8_filter
  0.04     26.68     0.01   148896     0.00     0.00  prefetch_fenc_null
  0.04     26.69     0.01   148896     0.00     0.00  x264_prefetch_fenc
  0.04     26.70     0.01   147412     0.00     0.00  predict_8x8_hu
  0.04     26.71     0.01   145636     0.00     0.00  predict_8x8c_v
  0.04     26.72     0.01   143246     0.00     0.00  predict_8x8_ddr
  0.04     26.73     0.01   118800     0.00     0.00  x264_pixel_var_8x8
  0.04     26.74     0.01   113457     0.00     0.00  x264_pixel_sad_x3_8x16
  0.04     26.75     0.01   113418     0.00     0.00  x264_pixel_sad_x3_16x8
  0.04     26.76     0.01   110480     0.00     0.00  predict_4x4_ddl
  0.04     26.77     0.01    93990     0.00     0.00  deblock_v_chroma_c
  0.04     26.78     0.01    92059     0.00     0.00  x264_cabac_mb_mvd
  0.04     26.79     0.01    72416     0.00     0.00  x264_quant_dc_trellis
  0.04     26.80     0.01    69954     0.00     0.00  deblock_h_luma_c
  0.04     26.81     0.01    60705     0.00     0.00  predict_8x8_dc
  0.04     26.82     0.01    59400     0.00     0.00  x264_adaptive_quant
  0.04     26.83     0.01    59400     0.00     0.00  x264_mb_analyse_init
  0.04     26.84     0.01    59400     0.00     0.00  x264_ratecontrol_mb
  0.04     26.85     0.01    59004     0.00     0.00  x264_cabac_mb_skip
  0.04     26.86     0.01    51459     0.00     0.00  x264_coeff_last15
  0.04     26.87     0.01    38984     0.00     0.00  pixel_avg_16x8
  0.04     26.88     0.01    29700     0.00     0.00  x264_mb_analyse_inter_p16x16
  0.04     26.89     0.01    29304     0.00     0.00  x264_mb_analyse_inter_b16x16
  0.04     26.90     0.01    29304     0.00     0.00  x264_mb_predict_mv_direct16x16_spatial
  0.04     26.91     0.01    28978     0.00     0.00  pixel_avg_8x16
  0.04     26.92     0.01     8808     0.00     0.00  plane_expand_border
  0.04     26.93     0.01      190     0.00     0.14  Encode_frame
  0.04     26.94     0.01      150     0.00     0.00  x264_cabac_context_init
  0.04     26.95     0.01      150     0.00     0.15  x264_slice_write
  0.04     26.96     0.01        1     0.01     0.01  x264_cqm_init
  0.04     26.97     0.01        1     0.01     0.01  x264_deblock_init
  0.04     26.98     0.01                             log2f
  0.04     26.99     0.01                             memcpy
  0.02     27.00     0.01  1143904     0.00     0.00  x264_pixel_sad_x3_8x8
  0.02     27.00     0.01  1130087     0.00     0.00  sub8x8_dct
  0.02     27.00     0.01   338683     0.00     0.00  x264_cabac_mb_ref
  0.02     27.01     0.01   216742     0.00     0.00  sub16x16_dct
  0.02     27.02     0.01    48350     0.00     0.00  x264_cabac_mb_cbp_chroma
  0.02     27.02     0.01                             x264_i8x8_chroma_size_cabac
  0.00     27.02     0.00   735028     0.00     0.00  x264_pixel_sa8d_8x8
  0.00     27.02     0.00   381969     0.00     0.00  x264_pixel_sad_x3_16x16
  0.00     27.02     0.00   283244     0.00     0.00  x264_pixel_hadamard_ac_16x16
  0.00     27.02     0.00   268046     0.00     0.00  x264_pixel_satd_4x8
  0.00     27.02     0.00   237600     0.00     0.00  copy_column8
  0.00     27.02     0.00   233439     0.00     0.00  x264_cabac_mb_cbp_chroma
  0.00     27.02     0.00   233439     0.00     0.00  x264_cabac_mb_cbp_luma
  0.00     27.02     0.00   203103     0.00     0.00  zigzag_scan_8x8_frame
  0.00     27.02     0.00   181339     0.00     0.00  sub8x8_dct_dc
  0.00     27.02     0.00   179339     0.00     0.00  x264_emms
  0.00     27.02     0.00   172595     0.00     0.00  x264_mb_predict_mv_ref16x16
  0.00     27.02     0.00   166397     0.00     0.00  predict_4x4_mode_available
  0.00     27.02     0.00   163845     0.00     0.00  x264_pixel_sad_x4_16x8
  0.00     27.02     0.00   147184     0.00     0.00  predict_8x8c_h
  0.00     27.02     0.00   145628     0.00     0.00  x264_cabac_mb8x8_mvd
  0.00     27.02     0.00   144250     0.00     0.00  mc_copy_w16
  0.00     27.02     0.00   139313     0.00     0.00  predict_4x4_h
  0.00     27.02     0.00   133827     0.00     0.00  x264_coeff_last64
  0.00     27.02     0.00   125290     0.00     0.00  predict_4x4_v
  0.00     27.02     0.00   124742     0.00     0.00  predict_4x4_dc
  0.00     27.02     0.00   112915     0.00     0.00  x264_mb_encode_i4x4
  0.00     27.02     0.00   110269     0.00     0.00  predict_4x4_vl
  0.00     27.02     0.00   109242     0.00     0.00  predict_4x4_hu
  0.00     27.02     0.00   106354     0.00     0.00  predict_4x4_hd
  0.00     27.02     0.00   105856     0.00     0.00  predict_4x4_ddr
  0.00     27.02     0.00   105426     0.00     0.00  predict_4x4_vr
  0.00     27.02     0.00    96288     0.00     0.00  deblock_h_chroma_c
  0.00     27.02     0.00    77972     0.00     0.00  sub16x16_dct8
  0.00     27.02     0.00    74423     0.00     0.00  x264_decimate_score15
  0.00     27.02     0.00    74401     0.00     0.00  x264_cabac_mb_ref
  0.00     27.02     0.00    73974     0.00     0.00  predict_8x8_h
  0.00     27.02     0.00    68944     0.00     0.00  x264_cabac_mb_intra4x4_pred_mode
  0.00     27.02     0.00    67696     0.00     0.00  deblock_v_luma_c
  0.00     27.02     0.00    65170     0.00     0.00  predict_8x8_v
