Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     10.25     0.00    69380     0.00     0.00  x264_coeff_level_run15
  0.00     10.25     0.00    66341     0.00     0.00  x264_analyse_update_cache
  0.00     10.25     0.00    65242     0.00     0.00  predict_8x8c_h
  0.00     10.25     0.00    64530     0.00     0.00  predict_8x8c_v
  0.00     10.25     0.00    64055     0.00     0.00  sub16x16_dct
  0.00     10.25     0.00    62942     0.00     0.00  predict_8x8c_dc
  0.00     10.25     0.00    62941     0.00     0.00  x264_mb_mc
  0.00     10.25     0.00    60417     0.00     0.00  block_residual_write_cavlc
  0.00     10.25     0.00    58608     0.00     0.00  prefetch_ref_null
  0.00     10.25     0.00    47798     0.00     0.00  x264_free
  0.00     10.25     0.00    47627     0.00     0.00  x264_pixel_hadamard_ac_16x16
  0.00     10.25     0.00    43858     0.00     0.00  predict_4x4_dc
  0.00     10.25     0.00    42535     0.00     0.00  x264_coeff_level_run4
  0.00     10.25     0.00    39782     0.00     0.00  predict_4x4_v
  0.00     10.25     0.00    38512     0.00     0.00  predict_4x4_hu
  0.00     10.25     0.00    37908     0.00     0.00  mbtree_propagate_cost
  0.00     10.25     0.00    37013     0.00     0.00  cavlc_mb_mvd
  0.00     10.25     0.00    36821     0.00     0.00  predict_4x4_ddl
  0.00     10.25     0.00    36514     0.00     0.00  predict_4x4_ddr
  0.00     10.25     0.00    36418     0.00     0.00  predict_4x4_vl
  0.00     10.25     0.00    36324     0.00     0.00  predict_4x4_vr
  0.00     10.25     0.00    33815     0.00     0.00  sub4x4_dct
  0.00     10.25     0.00    33815     0.00     0.00  x264_mb_encode_i4x4
  0.00     10.25     0.00    30270     0.00     0.00  deblock_h_chroma_c
  0.00     10.25     0.00    29775     0.00     0.00  x264_ratecontrol_qp
  0.00     10.25     0.00    29700     0.00     0.00  ac_energy_mb
  0.00     10.25     0.00    29700     0.00     0.00  predict_8x8_ddl
  0.00     10.25     0.00    29700     0.00     0.00  predict_8x8_filter
  0.00     10.25     0.00    29700     0.00     0.00  predict_8x8_hd
  0.00     10.25     0.00    29700     0.00     0.00  predict_8x8_hu
  0.00     10.25     0.00    29700     0.00     0.00  predict_8x8_vl
  0.00     10.25     0.00    29700     0.00     0.00  predict_8x8_vr
  0.00     10.25     0.00    29700     0.00     0.00  x264_prefetch_fenc
  0.00     10.25     0.00    29700     0.00     0.00  x264_ratecontrol_mb
  0.00     10.25     0.00    29372     0.00     0.00  deblock_v_chroma_c
  0.00     10.25     0.00    20583     0.00     0.00  cavlc_mb_mvd
  0.00     10.25     0.00    19918     0.00     0.00  x264_mb_analyse_intra_chroma
  0.00     10.25     0.00    17814     0.00     0.00  x264_intra_rd
  0.00     10.25     0.00    17756     0.00     0.00  predict_16x16_h
  0.00     10.25     0.00    17383     0.00     0.00  x264_mb_analyse_transform_rd
