-	RDY1/*SLWR	P4
-	RDY2	A4

-	CTL0/*FLAGA	L10
-	CTL1/*FLAGB	M9
-	CTL2/*FLAGC	N8
-	CTL3	A10

-	INT4	A11
-	INT5#	A9
-	T0	B12

-	SCL	A12
-	SDA	A13

-	RxD0	A14
-	TxD0	B14
