-29917    -440405    10272    -709    0
-131155    282056    36206    324416    1
249080    313668    25412    -35833    2
37720    -16033    328424    249188    3
-237163    350504    18110    -11669    4
-130845    -204937    322896    154428    5
236796    267260    -244457    -68597    6
14074    -9357    -206301    387584    7
330104    -273797    13032    -21881    8
129548    -209427    331912    2710    9
-395505    39872    25584    -78341    10
32900    5806    376296    166212    11
342124    242682    10956    -11783    12
70716    -50929    -358377    155888    13
284100    147636    -22029    -244545    14
10880    -8957    324096    -289921    15
368064    -264077    -9097    -19525    16
-127021    -262121    75524    296448    17
315824    -225729    3432    -43829    18
-15429    3536    -208309    -356921    19
150120    -405817    1460    -26305    20
-63945    110456    -197785    307376    21
151084    301688    -36381    279264    22
-2525    -3813    160076    404304    23
-113273    -418373    -3977    -14557    24
176320    -223493    -240409    -228837    25
298688    -233733    -58013    -138473    26
-27449    -11821    -87773    412952    27
110696    389320    8808    -31065    28
-38281    20488    -250209    317048    29
66768    -315909    242068    150800    30
-11937    -9773    -349945    254152    31
227096    -368577    -217    2184    32
277216    12072    -39101    -298313    33
-392117    -110073    14348    -32065    34
-7933    17482    326216    -214893    35
333724    229002    1636    -9331    36
185562    -9449    47310    361352    37
140244    293852    -263737    127584    38
-7483    9584    80298    -432281    39
177952    -391953    -3345    -10689    40
-185985    160908    -184521    307088    41
-95323    -379081    -9511    -111481    42
676    2528    -157501    -401121    43
-199851    -362801    6154    -8465    44
19116    43362    -355361    194572    45
302320    -124581    -278281    117344    46
150    10916    216908    367560    47
385032    -217801    2976    -18781    48
-50049    286556    -246085    -216369    49
86466    369980    21530    -55053    50
-3785    -11293    -316249    264856    51
-410069    78072    10172    -14197    52
-66133    -77673    -326569    198900    53
203704    287688    248640    53592    54
2356    -9877    -415793    -150893    55
-404293    -125083    15068    -15879    56
-52269    266776    239532    -267321    57
350952    83660    -117237    -146493    58
3976    -18253    191180    -380785    59
-138239    -381301    15338    -24045    60
-8675    -40657    1638    408800    61
-278209    -112077    -138933    -265145    62
5248    -12635    -367121    -231461    63
108258    -415157    -2247    4652    64
-165977    -280933    295608    -20525    65
222014    -324933    17178    -24621    66
25832    8404    -414265    -9873    67
48414    426948    14582    -7053    68
89368    -199609    -222973    -295953    69
-202421    -302737    -267729    22760    70
-149    -169    -422249    -160249    71
279372    -336893    5116    -4045    72
170964    163632    -172105    -286649    73
276564    239852    28216    -83145    74
16004    18156    -312505    286488    75
317864    -265905    13864    -11721    76
