57688 	 -2592
263 	 -609
-11189 	 37051
20621 	 -15096
13368 	 17198
1292 	 -121
865 	 120
43935 	 59247
-29728 	 26782
-110 	 262
6559 	 475
-16388 	 7099
-30323 	 17447
-3111 	 -6005
925 	 -57
-63325 	 45192
-51022 	 -10176
825 	 -105
-32625 	 6208
13398 	 53672
21706 	 -10483
-870 	 1333
709 	 -441
54260 	 -51420
44010 	 -49057
-66 	 -941
2139 	 169
-43478 	 -45505
-23538 	 30320
-49892 	 12146
202 	 95
-27050 	 -33793
31175 	 7421
44 	 149
64565 	 -11407
-280 	 -50218
-5057 	 -25978
-414 	 -1478
1199 	 0
16166 	 -50347
-46709 	 52160
934 	 -117
2691 	 398
-54086 	 -28547
33553 	 -48577
-17916 	 57823
437 	 -523
30835 	 -36406
25371 	 -35729
113 	 -728
22289 	 52014
-22771 	 38414
-1475 	 -4945
3070 	 -108
424 	 80
60666 	 51695
51260 	 20798
-326 	 512
1341 	 -310
-16535 	 -34631
-11115 	 -35159
4879 	 -21336
826 	 -87
-23727 	 56845
-13101 	 -31037
-66 	 -293
2596 	 -41294
18321 	 -10891
-62983 	 63672
892 	 -1231
1046 	 211
59113 	 -40389
24753 	 39313
500 	 389
3784 	 296
-12642 	 -15431
-1773 	 14440
-17244 	 1616
815 	 -410
-38831 	 37364
34649 	 30135
658 	 -607
-25062 	 8831
39036 	 -9030
50934 	 58041
1195 	 1803
407 	 -237
-43186 	 19972
20316 	 22027
-611 	 -321
1820 	 -164
64306 	 55739
-985 	 27654
26695 	 -46210
558 	 200
48513 	 13593
-46437 	 -16487
496 	 260
12870 	 -65513
14822 	 63665
59758 	 52349
-1415 	 -341
1073 	 -322
-46213 	 -52106
-48045 	 -59045
692 	 -795
2317 	 408
-54842 	 -43356
-54258 	 17387
-50988 	 35170
137 	 -272
48111 	 -48421
18143 	 -39564
-284 	 -307
17737 	 330
17013 	 -45126
-34456 	 48497
2279 	 -3680
704 	 181
-16411 	 -39331
-52989 	 28412
613 	 686
948 	 -155
-14342 	 13399
-49407 	 5429
4317 	 57710
699 	 -495
55627 	 -26365
34198 	 42432
56 	 -494
-14391 	 -50030
-19377 	 14003
-26085 	 56980
1246 	 -712
938 	 203
45430 	 59360
43896 	 52729
173 	 408
4842 	 325
-30122 	 20290
-28562 	 44774
-8313 	 -4941
917 	 -243
8033 	 35513
-53601 	 35084
809 	 -374
-40575 	 -51948
-58461 	 18571
-58482 	 38295
44 	 1825
529 	 -373
42820 	 -2843
-61864 	 -49390
-417 	 -709
2007 	 -3
58177 	 55944
-38073 	 -500
10136 	 55180
364 	 198
-59104 	 -22040
-45947 	 49298
252 	 267
-58463 	 18999
-23399 	 33486
22873 	 37370
-1047 	 -1063
1177 	 -168
6225 	 -43960
-41511 	 3871
906 	 -481
2449 	 432
-34719 	 -40122
31436 	 -48542
28474 	 3057
253 	 -435
-7158 	 60815
51149 	 -45150
-140 	 -572
44033 	 -21101
-15231 	 -37660
9404 	 -10645
3150 	 -1820
548 	 174
22124 	 -31317
-6817 	 -30040
109 	 724
1115 	 -265
58577 	 -1455
-31522 	 16310
17097 	 55298
817 	 -304
31765 	 -23780
-24626 	 -32117
-72 	 -56
3344 	 25917
5471 	 64283
-37155 	 15836
293 	 -1523
1147 	 138
-58317 	 58119
-59555 	 -47819
781 	 199
3108 	 338
-23124 	 -19968
-52554 	 23898
-20948 	 43278
642 	 -513
35604 	 -25336
6149 	 -33954
405 	 -739
9170 	 -47270
28406 	 3075
-19302 	 -22410
2311 	 1153
370 	 -70
-4810 	 41282
-49941 	 -15986
-584 	 125
1589 	 -274
-39623 	 -26513
-13112 	 65255
10773 	 -56910
729 	 96
-13365 	 48516
31832 	 3084
707 	 125
1436 	 -31494
-11269 	 23487
60393 	 -43562
-1376 	 531
905 	 -422
9814 	 32859
-52344 	 10247
339 	 -967
2231 	 316
3090 	 -9060
4590 	 22393
55032 	 -24250
119 	 -77
31905 	 55126
36369 	 -14996
-275 	 -1
9746 	 747
32448 	 17180
-5657 	 50602
257 	 -5263
845 	 97
26328 	 -29919
-8012 	 52680
1052 	 385
863 	 -12
59746 	 39248
10883 	 37391
-10708 	 5829
498 	 -608
43204 	 54152
48599 	 35735
152 	 -565
27423 	 -29212
23606 	 29499
57599 	 -34520
1308 	 -415
895 	 170
-6256 	 36069
-38344 	 23487
20 	 353
5589 	 382
-6155 	 -49970
61891 	 34357
-5421 	 -5800
933 	 -149
-25195 	 62113
-21948 	 39970
835 	 -239
407 	 -8755
32901 	 -179
-14498 	 -2679
-455 	 1632
614 	 -417
52594 	 63025
-18348 	 45401
-255 	 -849
2080 	 83
35690 	 27475
-59949 	 19755
58179 	 23753
275 	 158
-30468 	 -34117
-37577 	 50650
139 	 222
-57172 	 6242
20080 	 -20277
64579 	 -58775
-752 	 -1315
1198 	 -82
-55846 	 55168
31825 	 18165
944 	 -299
2552 	 421
-39173 	 50893
-31449 	 -55243
19382 	 17709
340 	 -491
57573 	 41164
54016 	 -37638
-23 	 -667
34827 	 48333
-28726 	 65034
-27425 	 30497
3213 	 -923
479 	 137
-32633 	 19213
17102 	 -21319
-124 	 646
1223 	 -297
26716 	 61553
-3442 	 53892
32107 	 -35739
836 	 -195
-27611 	 -33142
-17031 	 46852
-85 	 -175
-14430 	 -56974
9892 	 51908
-35553 	 48352
616 	 -1414
1100 	 184
13301 	 -44349
-24064 	 -30120
652 	 314
3408 	 312
36976 	 50579
43245 	 -8392
-23650 	 13156
735 	 -472
-24442 	 34421
40150 	 57134
541 	 -689
-14633 	 8713
-2903 	 28774
-51344 	 -56657
1777 	 1559
377 	 -155
43637 	 30571
11086 	 -29997
-627 	 -98
1708 	 -227
