Port, Packet #, Arrival Time, Inter-Packet Time, Inter-Message Time, messageType, sequenceId, embedded Time
M -> S, 49, 8.070801020, 0.000084877, 1.997753859, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6369, 1312261123.087829100
M -> S, 50, 8.994435072, 0.923634052, 1.000000954, 0x0: EVENT:SYNC, 12775, 1312261124.011534000
M -> S, 51, 8.994467974, 0.000032902, 1.999972820, 0xB: GENER:ANNOUNCE, 6387, 0.000000000
M -> S, 52, 8.994482994, 0.000015020, 1.999974012, 0x2: EVENT:PATH_DELAY_REQ, 6387, 1312261124.011594100
M -> S, 53, 8.994568110, 0.000085115, 1.000036955, 0x8: GENER:FOLLOW_UP, 12775, 1312261124.011545900
M <- S, 54, 8.995455027, 0.000886917, 1.999861002, 0x3: EVENT:PATH_DELAY_RESP, 6387, 1312261124.011307000
M <- S, 55, 8.995465040, 0.000010014, 1.999856949, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6387, 1312261124.011857000
M -> S, 56, 9.994433165, 0.998968124, 0.999998093, 0x0: EVENT:SYNC, 12776, 1312261125.011529900
M -> S, 57, 9.994534969, 0.000101805, 0.999966860, 0x8: GENER:FOLLOW_UP, 12776, 1312261125.011544000
M <- S, 58, 10.071828127, 0.077293158, 2.001301050, 0x2: EVENT:PATH_DELAY_REQ, 6370, 1312261125.088202000
M -> S, 59, 10.072012186, 0.000184059, 2.001296043, 0x3: EVENT:PATH_DELAY_RESP, 6370, 1312261125.088942100
M -> S, 60, 10.072101116, 0.000088930, 2.001300097, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6370, 1312261125.089124000
M -> S, 61, 10.994444132, 0.922343016, 1.000010967, 0x0: EVENT:SYNC, 12777, 1312261126.011541400
M -> S, 62, 10.994475126, 0.000030994, 2.000007153, 0xB: GENER:ANNOUNCE, 6388, 0.000000000
M -> S, 63, 10.994489193, 0.000014067, 2.000006199, 0x2: EVENT:PATH_DELAY_REQ, 6388, 1312261126.011600700
M -> S, 64, 10.994574070, 0.000084877, 1.000039101, 0x8: GENER:FOLLOW_UP, 12777, 1312261126.011555000
M <- S, 65, 10.995454073, 0.000880003, 1.999999046, 0x3: EVENT:PATH_DELAY_RESP, 6388, 1312261126.011380000
M <- S, 66, 10.995468140, 0.000014067, 2.000003099, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6388, 1312261126.011878000
M -> S, 67, 11.994438171, 0.998970032, 0.999994040, 0x0: EVENT:SYNC, 12778, 1312261127.011535600
M -> S, 68, 11.994543076, 0.000104904, 0.999969006, 0x8: GENER:FOLLOW_UP, 12778, 1312261127.011549000
M <- S, 69, 12.073253155, 0.078710079, 2.001425028, 0x2: EVENT:PATH_DELAY_REQ, 6371, 1312261127.089684700
M -> S, 70, 12.073433161, 0.000180006, 2.001420975, 0x3: EVENT:PATH_DELAY_RESP, 6371, 1312261127.090367100
M -> S, 71, 12.073518038, 0.000084877, 2.001416922, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6371, 1312261127.090544900
M -> S, 72, 12.994436026, 0.920917988, 0.999997854, 0x0: EVENT:SYNC, 12779, 1312261128.011534700
M -> S, 73, 12.994466066, 0.000030041, 1.999990940, 0xB: GENER:ANNOUNCE, 6389, 0.000000000
M -> S, 74, 12.994480133, 0.000014067, 1.999990940, 0x2: EVENT:PATH_DELAY_REQ, 6389, 1312261128.011591400
M -> S, 75, 12.994565010, 0.000084877, 1.000021935, 0x8: GENER:FOLLOW_UP, 12779, 1312261128.011547100
M <- S, 76, 12.995449066, 0.000884056, 1.999994993, 0x3: EVENT:PATH_DELAY_RESP, 6389, 1312261128.011339900
M <- S, 77, 12.995463133, 0.000014067, 1.999994993, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6389, 1312261128.011884000
M -> S, 78, 13.994433165, 0.998970032, 0.999997139, 0x0: EVENT:SYNC, 12780, 1312261129.011530400
M -> S, 79, 13.994536161, 0.000102997, 0.999971151, 0x8: GENER:FOLLOW_UP, 12780, 1312261129.011544000
M <- S, 80, 14.071541071, 0.077004910, 1.998287916, 0x2: EVENT:PATH_DELAY_REQ, 6372, 1312261129.087957600
M -> S, 81, 14.071738005, 0.000196934, 1.998304844, 0x3: EVENT:PATH_DELAY_RESP, 6372, 1312261129.088655000
M -> S, 82, 14.071824074, 0.000086069, 1.998306036, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6372, 1312261129.088849100
M -> S, 83, 14.994440079, 0.922616005, 1.000006914, 0x0: EVENT:SYNC, 12781, 1312261130.011537600
M -> S, 84, 14.994472027, 0.000031948, 2.000005960, 0xB: GENER:ANNOUNCE, 6390, 0.000000000
M -> S, 85, 14.994487047, 0.000015020, 2.000006914, 0x2: EVENT:PATH_DELAY_REQ, 6390, 1312261130.011598100
M -> S, 86, 14.994570971, 0.000083923, 1.000034809, 0x8: GENER:FOLLOW_UP, 12781, 1312261130.011550900
M <- S, 87, 14.995443106, 0.000872135, 1.999994040, 0x3: EVENT:PATH_DELAY_RESP, 6390, 1312261130.011382100
M <- S, 88, 14.995458126, 0.000015020, 1.999994993, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6390, 1312261130.011899000
M -> S, 89, 15.994431019, 0.998972893, 0.999990940, 0x0: EVENT:SYNC, 12782, 1312261131.011528700
M -> S, 90, 15.994533062, 0.000102043, 0.999962091, 0x8: GENER:FOLLOW_UP, 12782, 1312261131.011542100
M <- S, 91, 16.070448160, 0.075915098, 1.998907089, 0x2: EVENT:PATH_DELAY_REQ, 6373, 1312261131.086898600
M -> S, 92, 16.070621014, 0.000172853, 1.998883009, 0x3: EVENT:PATH_DELAY_RESP, 6373, 1312261131.087562100
M -> S, 93, 16.070710182, 0.000089169, 1.998886108, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6373, 1312261131.087733000
M -> S, 94, 16.994439125, 0.923728943, 1.000008106, 0x0: EVENT:SYNC, 12783, 1312261132.011536800
M -> S, 95, 16.994470119, 0.000030994, 1.999998093, 0xB: GENER:ANNOUNCE, 6391, 0.000000000
M -> S, 96, 16.994485140, 0.000015020, 1.999998093, 0x2: EVENT:PATH_DELAY_REQ, 6391, 1312261132.011596400
M -> S, 97, 16.994569063, 0.000083923, 1.000036001, 0x8: GENER:FOLLOW_UP, 12783, 1312261132.011550900
M <- S, 98, 16.995447159, 0.000878096, 2.000004053, 0x3: EVENT:PATH_DELAY_RESP, 6391, 1312261132.011357100
M <- S, 99, 16.995465040, 0.000017881, 2.000006914, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6391, 1312261132.011913100
M -> S, 100, 17.994434118, 0.998969078, 0.999994993, 0x0: EVENT:SYNC, 12784, 1312261133.011532300
M -> S, 101, 17.994536161, 0.000102043, 0.999967098, 0x8: GENER:FOLLOW_UP, 12784, 1312261133.011545900
M <- S, 102, 18.071878195, 0.077342033, 2.001430035, 0x2: EVENT:PATH_DELAY_REQ, 6374, 1312261133.088304500
M -> S, 103, 18.072074175, 0.000195980, 2.001453161, 0x3: EVENT:PATH_DELAY_RESP, 6374, 1312261133.088992100
M -> S, 104, 18.072160959, 0.000086784, 2.001450777, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6374, 1312261133.089185000
M -> S, 105, 18.994439125, 0.922278166, 1.000005007, 0x0: EVENT:SYNC, 12785, 1312261134.011536600
M -> S, 106, 18.994470119, 0.000030994, 2.000000000, 0xB: GENER:ANNOUNCE, 6392, 0.000000000
M -> S, 107, 18.994484186, 0.000014067, 1.999999046, 0x2: EVENT:PATH_DELAY_REQ, 6392, 1312261134.011595700
M -> S, 108, 18.994568110, 0.000083923, 1.000031948, 0x8: GENER:FOLLOW_UP, 12785, 1312261134.011549900
M <- S, 109, 18.995460033, 0.000891924, 2.000012875, 0x3: EVENT:PATH_DELAY_RESP, 6392, 1312261134.011434100
M <- S, 110, 18.995475054, 0.000015020, 2.000010014, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6392, 1312261134.011948100
M -> S, 111, 19.994431973, 0.998956919, 0.999992847, 0x0: EVENT:SYNC, 12786, 1312261135.011529900
M -> S, 112, 19.994533062, 0.000101089, 0.999964952, 0x8: GENER:FOLLOW_UP, 12786, 1312261135.011543000
M <- S, 113, 20.072571993, 0.078038931, 2.000693798, 0x2: EVENT:PATH_DELAY_REQ, 6375, 1312261135.089070800
M -> S, 114, 20.072762012, 0.000190020, 2.000687838, 0x3: EVENT:PATH_DELAY_RESP, 6375, 1312261135.089685900
M -> S, 115, 20.072849035, 0.000087023, 2.000688076, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6375, 1312261135.089874000
M -> S, 116, 20.994439125, 0.921590090, 1.000007153, 0x0: EVENT:SYNC, 12787, 1312261136.011536100
M -> S, 117, 20.994471073, 0.000031948, 2.000000954, 0xB: GENER:ANNOUNCE, 6393, 0.000000000
M -> S, 118, 20.994485140, 0.000014067, 2.000000954, 0x2: EVENT:PATH_DELAY_REQ, 6393, 1312261136.011596900
M -> S, 119, 20.994569063, 0.000083923, 1.000036001, 0x8: GENER:FOLLOW_UP, 12787, 1312261136.011549900
M <- S, 120, 20.995486021, 0.000916958, 2.000025988, 0x3: EVENT:PATH_DELAY_RESP, 6393, 1312261136.011447000
M <- S, 121, 20.995503187, 0.000017166, 2.000028133, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6393, 1312261136.011982000
M -> S, 122, 21.994431019, 0.998927832, 0.999991894, 0x0: EVENT:SYNC, 12788, 1312261137.011529200
M -> S, 123, 21.994533062, 0.000102043, 0.999963999, 0x8: GENER:FOLLOW_UP, 12788, 1312261137.011543000
M <- S, 124, 22.070495129, 0.075962067, 1.997923136, 0x2: EVENT:PATH_DELAY_REQ, 6376, 1312261137.086997700
M -> S, 125, 22.070688963, 0.000193834, 1.997926950, 0x3: EVENT:PATH_DELAY_RESP, 6376, 1312261137.087609100
