00 -> 00  Flags = 42
D8 -> 28  Flags = 3B
D9 -> 27  Flags = 33
DA -> 26  Flags = 33
DB -> 25  Flags = 33
DC -> 24  Flags = 33
DD -> 23  Flags = 33
DE -> 22  Flags = 33
DF -> 21  Flags = 33
E0 -> 20  Flags = 23
E1 -> 1F  Flags = 1B
E2 -> 1E  Flags = 1B
E3 -> 1D  Flags = 1B
E4 -> 1C  Flags = 1B
E5 -> 1B  Flags = 1B
E6 -> 1A  Flags = 1B
E7 -> 19  Flags = 1B
E8 -> 18  Flags = 1B
E9 -> 17  Flags = 13
EA -> 16  Flags = 13
EB -> 15  Flags = 13
EC -> 14  Flags = 13
ED -> 13  Flags = 13
EE -> 12  Flags = 13
EF -> 11  Flags = 13
F0 -> 10  Flags = 03
F1 -> 0F  Flags = 1B
F2 -> 0E  Flags = 1B
F3 -> 0D  Flags = 1B
F4 -> 0C  Flags = 1B
F5 -> 0B  Flags = 1B
F6 -> 0A  Flags = 1B
F7 -> 09  Flags = 1B
F8 -> 08  Flags = 1B
F9 -> 07  Flags = 13
FA -> 06  Flags = 13
FB -> 05  Flags = 13
FC -> 04  Flags = 13
FD -> 03  Flags = 13
FE -> 02  Flags = 13
FF -> 01  Flags = 13
