x, 0, x, fffX, x, x, x, x, x, x, x, x, xxxx, xx, xx, xx, xx, xx, xx, Xx, xxxx, xx, xx, xx
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f83a, 03, f8, 00, 00, 00, ff, 24, f83a, 6c, 03, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f83a, 03, f8, 00, 00, 00, ff, 24, f83a, 6c, 03, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f83a, f8, f8, 00, 00, 00, ff, 24, f83a, 6c, 03, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f83a, f8, f8, 00, 00, 00, ff, 24, f83a, 6c, 03, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, f803, f8, 3b, 00, 00, 00, ff, 24, f83b, 6c, 03, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, f803, f8, 3b, 00, 00, 00, ff, 24, f83b, 6c, 03, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, f803, 3c, 3b, 00, 00, 00, ff, 24, f83b, 6c, 03, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 2, 1, f803, 3c, 3b, 00, 00, 00, ff, 24, f83b, 6c, 03, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, f804, 3c, f8, 00, 00, 00, ff, 24, f83b, 6c, 3c, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, f804, 3c, f8, 00, 00, 00, ff, 24, f83b, 6c, 3c, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 2, 0, f804, f8, f8, 00, 00, 00, ff, 24, f83b, 6c, 3c, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 2, 1, f804, f8, f8, 00, 00, 00, ff, 24, f83b, 6c, 3c, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f83c, f8, 24, 00, 00, 00, ff, 24, f83c, 6c, 3c, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f83c, f8, 24, 00, 00, 00, ff, 24, f83c, 6c, 3c, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f83c, 7c, 24, 00, 00, 00, ff, 24, f83c, 6c, 3c, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f83c, 7c, 24, 00, 00, 00, ff, 24, f83c, 6c, 3c, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f83d, 7c, 3d, 00, 00, 00, ff, 24, f83d, 7c, 3c, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f83d, 7c, 3d, 00, 00, 00, ff, 24, f83d, 7c, 3c, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f83d, 05, 3d, 00, 00, 00, ff, 24, f83d, 7c, 3c, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f83d, 05, 3d, 00, 00, 00, ff, 24, f83d, 7c, 3c, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f83e, 05, f8, 00, 00, 00, ff, 24, f83e, 7c, 05, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f83e, 05, f8, 00, 00, 00, ff, 24, f83e, 7c, 05, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f83e, f8, f8, 00, 00, 00, ff, 24, f83e, 7c, 05, f8
