SINE, COSINE
4500/1500: atan=1.249146 (1.249046), y2 = -3
5000/1500: atan=1.279297 (1.279340), y2 = -1
5500/1500: atan=1.304443 (1.304544), y2 = 0
6000/1500: atan=1.325928 (1.325818), y2 = -1
6500/1500: atan=1.343872 (1.343997), y2 = -1
7000/1500: atan=1.359497 (1.359703), y2 = 0
0/2000: atan=-0.000366 (0.000000), y2 = -1
500/2000: atan=0.245117 (0.244979), y2 = -1
1000/2000: atan=0.463501 (0.463648), y2 = 1
1500/2000: atan=0.643677 (0.643501), y2 = -1
2000/2000: atan=0.785278 (0.785398), y2 = 0
2500/2000: atan=0.895874 (0.896055), y2 = 0
3000/2000: atan=0.982788 (0.982794), y2 = 0
3500/2000: atan=1.051636 (1.051650), y2 = -2
4000/2000: atan=1.107178 (1.107149), y2 = -2
4500/2000: atan=1.152466 (1.152572), y2 = -1
5000/2000: atan=1.190186 (1.190290), y2 = -1
5500/2000: atan=1.222412 (1.222025), y2 = -4
6000/2000: atan=1.249146 (1.249046), y2 = -1
6500/2000: atan=1.272339 (1.272297), y2 = -2
7000/2000: atan=1.292480 (1.292497), y2 = -1
0/2500: atan=0.000000 (0.000000), y2 = -1
500/2500: atan=0.197876 (0.197396), y2 = 0
1000/2500: atan=0.380493 (0.380506), y2 = -1
1500/2500: atan=0.540283 (0.540420), y2 = 0
2000/2500: atan=0.674927 (0.674741), y2 = 0
2500/2500: atan=0.785522 (0.785398), y2 = -1
3000/2500: atan=0.875977 (0.876058), y2 = -1
3500/2500: atan=0.950439 (0.950547), y2 = 0
4000/2500: atan=1.011963 (1.012197), y2 = 0
4500/2500: atan=1.063599 (1.063698), y2 = -1
5000/2500: atan=1.107178 (1.107149), y2 = 0
5500/2500: atan=1.144409 (1.144169), y2 = -2
6000/2500: atan=1.176025 (1.176005), y2 = -1
6500/2500: atan=1.203735 (1.203622), y2 = -1
7000/2500: atan=1.227539 (1.227772), y2 = 2
0/3000: atan=0.000000 (0.000000), y2 = -1
500/3000: atan=0.165283 (0.165149), y2 = 0
1000/3000: atan=0.321899 (0.321751), y2 = -2
1500/3000: atan=0.463501 (0.463648), y2 = 1
2000/3000: atan=0.588013 (0.588003), y2 = 0
2500/3000: atan=0.694702 (0.694738), y2 = 1
3000/3000: atan=0.785522 (0.785398), y2 = -1
3500/3000: atan=0.862305 (0.862170), y2 = -2
4000/3000: atan=0.927368 (0.927295), y2 = 0
4500/3000: atan=0.982666 (0.982794), y2 = 0
5000/3000: atan=1.030396 (1.030377), y2 = -1
5500/3000: atan=1.071533 (1.071450), y2 = -1
6000/3000: atan=1.107178 (1.107149), y2 = 0
6500/3000: atan=1.138428 (1.138389), y2 = 0
7000/3000: atan=1.165771 (1.165905), y2 = 1
0/3500: atan=0.000000 (0.000000), y2 = -1
500/3500: atan=0.142090 (0.141897), y2 = 0
1000/3500: atan=0.278564 (0.278300), y2 = -1
1500/3500: atan=0.404907 (0.404892), y2 = -1
2000/3500: atan=0.519409 (0.519146), y2 = -2
2500/3500: atan=0.620361 (0.620249), y2 = 0
3000/3500: atan=0.708374 (0.708626), y2 = 2
3500/3500: atan=0.785645 (0.785398), y2 = 0
4000/3500: atan=0.852051 (0.851966), y2 = -1
4500/3500: atan=0.909546 (0.909753), y2 = 0
5000/3500: atan=0.960083 (0.960070), y2 = 0
5500/3500: atan=1.004150 (1.004067), y2 = -1
6000/3500: atan=1.042969 (1.042722), y2 = -2
6500/3500: atan=1.076904 (1.076855), y2 = -2
7000/3500: atan=1.107178 (1.107149), y2 = -1
0/4000: atan=0.000000 (0.000000), y2 = -1
500/4000: atan=0.124390 (0.124355), y2 = -2
1000/4000: atan=0.245117 (0.244979), y2 = -2
1500/4000: atan=0.358765 (0.358771), y2 = -1
2000/4000: atan=0.463501 (0.463648), y2 = 1
2500/4000: atan=0.558716 (0.558599), y2 = -1
3000/4000: atan=0.643311 (0.643501), y2 = 0
3500/4000: atan=0.718872 (0.718830), y2 = -1
4000/4000: atan=0.785278 (0.785398), y2 = 0
4500/4000: atan=0.844116 (0.844154), y2 = 0
5000/4000: atan=0.896118 (0.896055), y2 = -1
5500/4000: atan=0.941528 (0.942000), y2 = 4
6000/4000: atan=0.982788 (0.982794), y2 = -1
6500/4000: atan=1.018799 (1.019141), y2 = 2
7000/4000: atan=1.051636 (1.051650), y2 = 0
0/4500: atan=0.000122 (0.000000), y2 = 0
500/4500: atan=0.110718 (0.110657), y2 = -1
1000/4500: atan=0.218506 (0.218669), y2 = 1
1500/4500: atan=0.321899 (0.321751), y2 = -3
2000/4500: atan=0.418457 (0.418224), y2 = -1
2500/4500: atan=0.507202 (0.507099), y2 = -1
3000/4500: atan=0.588013 (0.588003), y2 = 0
3500/4500: atan=0.661133 (0.661043), y2 = -1
4000/4500: atan=0.726807 (0.726642), y2 = -1
4500/4500: atan=0.785278 (0.785398), y2 = 0
5000/4500: atan=0.838013 (0.837981), y2 = 0
5500/4500: atan=0.885010 (0.885067), y2 = 0
6000/4500: atan=0.927368 (0.927295), y2 = -1
6500/4500: atan=0.965088 (0.965252), y2 = 0
7000/4500: atan=0.999146 (0.999459), y2 = 0
0/5000: atan=0.000122 (0.000000), y2 = 0
500/5000: atan=0.100098 (0.099669), y2 = -1
1000/5000: atan=0.197510 (0.197396), y2 = 0
1500/5000: atan=0.291504 (0.291457), y2 = -1
2000/5000: atan=0.380493 (0.380506), y2 = 0
2500/5000: atan=0.463501 (0.463648), y2 = 0
3000/5000: atan=0.540527 (0.540420), y2 = -1
3500/5000: atan=0.610596 (0.610726), y2 = 0
4000/5000: atan=0.674805 (0.674741), y2 = -1
4500/5000: atan=0.732666 (0.732815), y2 = 1
5000/5000: atan=0.785278 (0.785398), y2 = 0
5500/5000: atan=0.833374 (0.832981), y2 = -6
6000/5000: atan=0.875977 (0.876058), y2 = 0
6500/5000: atan=0.915161 (0.915101), y2 = 0
7000/5000: atan=0.950684 (0.950547), y2 = -2
0/5500: atan=0.000000 (0.000000), y2 = -1
500/5500: atan=0.090698 (0.090660), y2 = 0
1000/5500: atan=0.179932 (0.179853), y2 = 0
1500/5500: atan=0.266357 (0.266252), y2 = -1
2000/5500: atan=0.349243 (0.348771), y2 = -4
2500/5500: atan=0.426270 (0.426627), y2 = 2
3000/5500: atan=0.499390 (0.499347), y2 = -1
3500/5500: atan=0.566772 (0.566729), y2 = -1
4000/5500: atan=0.629150 (0.628796), y2 = -4
4500/5500: atan=0.685669 (0.685730), y2 = 0
5000/5500: atan=0.738159 (0.737815), y2 = -6
5500/5500: atan=0.785156 (0.785398), y2 = 0
6000/5500: atan=0.828735 (0.828849), y2 = -1
6500/5500: atan=0.868408 (0.868539), y2 = 0
7000/5500: atan=0.904785 (0.904827), y2 = -1
0/6000: atan=0.000000 (0.000000), y2 = -1
500/6000: atan=0.083008 (0.083141), y2 = 0
1000/6000: atan=0.165283 (0.165149), y2 = -1
1500/6000: atan=0.244751 (0.244979), y2 = 0
2000/6000: atan=0.321899 (0.321751), y2 = -1
2500/6000: atan=0.394775 (0.394791), y2 = -1
3000/6000: atan=0.463501 (0.463648), y2 = 0
3500/6000: atan=0.527710 (0.528074), y2 = 2
4000/6000: atan=0.588013 (0.588003), y2 = -1
4500/6000: atan=0.643433 (0.643501), y2 = -1
5000/6000: atan=0.694702 (0.694738), y2 = -1
5500/6000: atan=0.742065 (0.741947), y2 = -1
6000/6000: atan=0.785278 (0.785398), y2 = 1
6500/6000: atan=0.825562 (0.825377), y2 = -1
7000/6000: atan=0.862305 (0.862170), y2 = -3
0/6500: atan=0.000000 (0.000000), y2 = 0
500/6500: atan=0.076904 (0.076772), y2 = -1
1000/6500: atan=0.152588 (0.152649), y2 = 0
1500/6500: atan=0.227051 (0.226799), y2 = -1
2000/6500: atan=0.298340 (0.298499), y2 = 2
2500/6500: atan=0.367065 (0.367174), y2 = -1
3000/6500: atan=0.432251 (0.432408), y2 = 0
3500/6500: atan=0.494141 (0.493941), y2 = -2
4000/6500: atan=0.551880 (0.551655), y2 = -2
4500/6500: atan=0.605591 (0.605545), y2 = 0
5000/6500: atan=0.655518 (0.655696), y2 = 0
5500/6500: atan=0.702271 (0.702257), y2 = 0
6000/6500: atan=0.745117 (0.745419), y2 = 1
6500/6500: atan=0.785278 (0.785398), y2 = 0
7000/6500: atan=0.822510 (0.822418), y2 = -1
0/7000: atan=0.000000 (0.000000), y2 = 0
500/7000: atan=0.071045 (0.071307), y2 = 1
1000/7000: atan=0.141968 (0.141897), y2 = -1
1500/7000: atan=0.211182 (0.211093), y2 = 0
2000/7000: atan=0.278320 (0.278300), y2 = -1
2500/7000: atan=0.343140 (0.343024), y2 = -1
3000/7000: atan=0.404907 (0.404892), y2 = -1
3500/7000: atan=0.463501 (0.463648), y2 = 0
4000/7000: atan=0.519043 (0.519146), y2 = 0
4500/7000: atan=0.571533 (0.571337), y2 = 0
5000/7000: atan=0.620239 (0.620249), y2 = -2
5500/7000: atan=0.666016 (0.665969), y2 = -1
6000/7000: atan=0.708862 (0.708626), y2 = -3
6500/7000: atan=0.748169 (0.748378), y2 = 2
7000/7000: atan=0.785278 (0.785398), y2 = 0

SQUARE ROOT
100: sqrt=0.099860 (0.078125)
200: sqrt=0.118432 (0.110485)
300: sqrt=0.137151 (0.135316)
400: sqrt=0.155649 (0.156250)
500: sqrt=0.174221 (0.174693)
600: sqrt=0.190803 (0.191366)
700: sqrt=0.206205 (0.206699)
800: sqrt=0.220576 (0.220971)
900: sqrt=0.233916 (0.234375)
1000: sqrt=0.246886 (0.247053)
1100: sqrt=0.258825 (0.259111)
1200: sqrt=0.270175 (0.270633)
1300: sqrt=0.281303 (0.281684)
1400: sqrt=0.292063 (0.292317)
1500: sqrt=0.302307 (0.302577)
1600: sqrt=0.312109 (0.312500)
1700: sqrt=0.321984 (0.322118)
1800: sqrt=0.330975 (0.331456)
1900: sqrt=0.340261 (0.340539)
2000: sqrt=0.349178 (0.349386)
2100: sqrt=0.357948 (0.358014)
2200: sqrt=0.366350 (0.366439)
2300: sqrt=0.374383 (0.374674)
2400: sqrt=0.382563 (0.382733)
2500: sqrt=0.390154 (0.390625)
2600: sqrt=0.398187 (0.398361)
2700: sqrt=0.405925 (0.405949)
2800: sqrt=0.413295 (0.413399)
2900: sqrt=0.420812 (0.420716)
3000: sqrt=0.427592 (0.427908)
3100: sqrt=0.434741 (0.434982)
3200: sqrt=0.441669 (0.441942)
3300: sqrt=0.448670 (0.448794)
3400: sqrt=0.455376 (0.455543)
3500: sqrt=0.462230 (0.462194)
3600: sqrt=0.468421 (0.468750)
3700: sqrt=0.475054 (0.475216)
3800: sqrt=0.481244 (0.481595)
3900: sqrt=0.487656 (0.487890)
4000: sqrt=0.493699 (0.494106)
4100: sqrt=0.499595 (0.500244)
4200: sqrt=0.505638 (0.506308)
4300: sqrt=0.511607 (0.512300)
4400: sqrt=0.517724 (0.518223)
4500: sqrt=0.523694 (0.524078)
4600: sqrt=0.529663 (0.529870)
4700: sqrt=0.535191 (0.535598)
4800: sqrt=0.540792 (0.541266)
4900: sqrt=0.546761 (0.546875)
5000: sqrt=0.552288 (0.552427)
5100: sqrt=0.557668 (0.557924)
5200: sqrt=0.563122 (0.563367)
5300: sqrt=0.568576 (0.568759)
5400: sqrt=0.573734 (0.574099)
5500: sqrt=0.578893 (0.579391)
5600: sqrt=0.584199 (0.584634)
5700: sqrt=0.589727 (0.589831)
5800: sqrt=0.594812 (0.594982)
5900: sqrt=0.599676 (0.600090)
6000: sqrt=0.604908 (0.605154)
6100: sqrt=0.610067 (0.610176)
6200: sqrt=0.614636 (0.615157)
6300: sqrt=0.619648 (0.620098)
6400: sqrt=0.624659 (0.625000)
6500: sqrt=0.629155 (0.629864)
6600: sqrt=0.634387 (0.634691)
6700: sqrt=0.639251 (0.639481)
6800: sqrt=0.644042 (0.644235)
6900: sqrt=0.648832 (0.648955)
7000: sqrt=0.653475 (0.653641)

RECIPROCAL
32000: 1/x=0.512085 (0.512000)
31750: 1/x=0.515991 (0.516031)
31500: 1/x=0.520142 (0.520127)
31250: 1/x=0.524292 (0.524288)
31000: 1/x=0.528442 (0.528516)
30750: 1/x=0.532837 (0.532813)
30500: 1/x=0.537231 (0.537180)
30250: 1/x=0.541626 (0.541620)
30000: 1/x=0.546265 (0.546133)
29750: 1/x=0.550659 (0.550723)
29500: 1/x=0.555298 (0.555390)
29250: 1/x=0.560181 (0.560137)
29000: 1/x=0.564819 (0.564966)
28750: 1/x=0.569946 (0.569878)
28500: 1/x=0.574829 (0.574877)
28250: 1/x=0.579956 (0.579965)
28000: 1/x=0.585083 (0.585143)
27750: 1/x=0.590454 (0.590414)
27500: 1/x=0.595825 (0.595782)
27250: 1/x=0.601440 (0.601248)
27000: 1/x=0.606812 (0.606815)
26750: 1/x=0.612427 (0.612486)
26500: 1/x=0.618286 (0.618264)
26250: 1/x=0.624146 (0.624152)
26000: 1/x=0.630249 (0.630154)
25750: 1/x=0.636353 (0.636272)
25500: 1/x=0.642456 (0.642510)
25250: 1/x=0.648804 (0.648871)
25000: 1/x=0.655396 (0.655360)
24750: 1/x=0.661987 (0.661980)
24500: 1/x=0.668823 (0.668735)
24250: 1/x=0.675659 (0.675629)
24000: 1/x=0.682739 (0.682667)
23750: 1/x=0.689819 (0.689853)
23500: 1/x=0.697144 (0.697191)
23250: 1/x=0.704712 (0.704688)
23000: 1/x=0.712524 (0.712348)
22750: 1/x=0.720093 (0.720176)
22500: 1/x=0.728149 (0.728178)
22250: 1/x=0.736450 (0.736360)
22000: 1/x=0.744751 (0.744727)
21750: 1/x=0.753296 (0.753287)
21500: 1/x=0.761841 (0.762047)
21250: 1/x=0.771118 (0.771012)
21000: 1/x=0.780151 (0.780190)
20750: 1/x=0.789673 (0.789590)
20500: 1/x=0.799194 (0.799220)
20250: 1/x=0.808960 (0.809086)
20000: 1/x=0.819214 (0.819200)
19750: 1/x=0.829712 (0.829570)
19500: 1/x=0.840210 (0.840205)
19250: 1/x=0.851440 (0.851117)
19000: 1/x=0.862427 (0.862316)
18750: 1/x=0.874146 (0.873813)
18500: 1/x=0.885620 (0.885622)
18250: 1/x=0.898071 (0.897753)
18000: 1/x=0.910278 (0.910222)
17750: 1/x=0.923218 (0.923042)
17500: 1/x=0.936401 (0.936229)
17250: 1/x=0.949829 (0.949797)
17000: 1/x=0.963989 (0.963765)
16750: 1/x=0.978394 (0.978149)
16500: 1/x=0.993286 (0.992970)
16250: 1/x=1.007935 (1.008246)
16000: 1/x=1.024048 (1.024000)
15750: 1/x=1.040161 (1.040254)
15500: 1/x=1.057007 (1.057032)
15250: 1/x=1.074341 (1.074361)
15000: 1/x=1.092407 (1.092267)
14750: 1/x=1.110718 (1.110780)
14500: 1/x=1.129761 (1.129931)
14250: 1/x=1.149780 (1.149754)
14000: 1/x=1.170288 (1.170286)
13750: 1/x=1.191528 (1.191564)
13500: 1/x=1.213745 (1.213630)
13250: 1/x=1.236450 (1.236528)
13000: 1/x=1.260376 (1.260308)
12750: 1/x=1.284790 (1.285020)
12500: 1/x=1.310913 (1.310720)
12250: 1/x=1.337524 (1.337469)
12000: 1/x=1.365356 (1.365333)
11750: 1/x=1.394409 (1.394383)
11500: 1/x=1.424927 (1.424696)
11250: 1/x=1.456421 (1.456356)
11000: 1/x=1.489624 (1.489455)
10750: 1/x=1.523804 (1.524093)
10500: 1/x=1.560425 (1.560381)
10250: 1/x=1.598511 (1.598439)
10000: 1/x=1.638550 (1.638400)
9750: 1/x=1.680298 (1.680410)
9500: 1/x=1.724731 (1.724632)
9250: 1/x=1.771362 (1.771243)
9000: 1/x=1.820435 (1.820444)
8750: 1/x=1.872681 (1.872457)
8500: 1/x=1.927856 (1.927529)
8250: 1/x=1.986450 (1.985939)

INVERSE SQUARE ROOT
4000: sqrt=0.493699 (0.494106)
4000: 1/sqrt(x)=1.999878 (2.023858)
4200: sqrt=0.505638 (0.506308)
4200: 1/sqrt(x)=1.978149 (1.975083)
4400: sqrt=0.517724 (0.518223)
4400: 1/sqrt(x)=1.931763 (1.929673)
4600: sqrt=0.529663 (0.529870)
4600: 1/sqrt(x)=1.888306 (1.887257)
4800: sqrt=0.540792 (0.541266)
4800: 1/sqrt(x)=1.849243 (1.847521)
5000: sqrt=0.552288 (0.552427)
5000: 1/sqrt(x)=1.810913 (1.810193)
5200: sqrt=0.563122 (0.563367)
5200: 1/sqrt(x)=1.775757 (1.775041)
5400: sqrt=0.573734 (0.574099)
5400: 1/sqrt(x)=1.743286 (1.741859)
5600: sqrt=0.584199 (0.584634)
5600: 1/sqrt(x)=1.712036 (1.710472)
5800: sqrt=0.594812 (0.594982)
