SINE, COSINE
16200: sqrt=0.993957 (0.994369)
16200: 1/sqrt(x)=1.005981 (1.005663)
16400: sqrt=1.000295 (1.000488)
16400: 1/sqrt(x)=0.999878 (0.999512)
16600: sqrt=1.006338 (1.006570)
16600: 1/sqrt(x)=0.994019 (0.993473)
16800: sqrt=1.012529 (1.012616)
16800: 1/sqrt(x)=0.987671 (0.987541)
17000: sqrt=1.018056 (1.018625)
17000: 1/sqrt(x)=0.982544 (0.981715)
17200: sqrt=1.024468 (1.024600)
17200: 1/sqrt(x)=0.976196 (0.975991)
17400: sqrt=1.030364 (1.030540)
17400: 1/sqrt(x)=0.970581 (0.970365)
17600: sqrt=1.036186 (1.036445)
17600: 1/sqrt(x)=0.965210 (0.964836)
17800: sqrt=1.042155 (1.042318)
17800: 1/sqrt(x)=0.959595 (0.959401)
18000: sqrt=1.048051 (1.048157)
18000: 1/sqrt(x)=0.954224 (0.954056)
18200: sqrt=1.053431 (1.053964)
18200: 1/sqrt(x)=0.949341 (0.948799)
18400: sqrt=1.059400 (1.059739)
18400: 1/sqrt(x)=0.943970 (0.943629)
18600: sqrt=1.065149 (1.065483)
18600: 1/sqrt(x)=0.938843 (0.938542)
18800: sqrt=1.070897 (1.071196)
18800: 1/sqrt(x)=0.933960 (0.933536)
19000: sqrt=1.076498 (1.076879)
19000: 1/sqrt(x)=0.929077 (0.928610)
19200: sqrt=1.082468 (1.082532)
19200: 1/sqrt(x)=0.923950 (0.923760)
19400: sqrt=1.087848 (1.088155)
19400: 1/sqrt(x)=0.919556 (0.918986)
19600: sqrt=1.093375 (1.093750)
19600: 1/sqrt(x)=0.914673 (0.914286)
19800: sqrt=1.099123 (1.099316)
19800: 1/sqrt(x)=0.909790 (0.909656)
20000: sqrt=1.104503 (1.104854)
20000: 1/sqrt(x)=0.905396 (0.905097)
20200: sqrt=1.110104 (1.110365)
20200: 1/sqrt(x)=0.901001 (0.900605)
20400: sqrt=1.115779 (1.115848)
20400: 1/sqrt(x)=0.896362 (0.896179)
20600: sqrt=1.120938 (1.121305)
20600: 1/sqrt(x)=0.891968 (0.891818)
20800: sqrt=1.126391 (1.126735)
20800: 1/sqrt(x)=0.887817 (0.887520)
21000: sqrt=1.131771 (1.132139)
21000: 1/sqrt(x)=0.883667 (0.883284)
21200: sqrt=1.137077 (1.137517)
21200: 1/sqrt(x)=0.879517 (0.879108)
21400: sqrt=1.142678 (1.142870)
21400: 1/sqrt(x)=0.875122 (0.874990)
21600: sqrt=1.148058 (1.148198)
21600: 1/sqrt(x)=0.871216 (0.870930)
21800: sqrt=1.153438 (1.153502)
21800: 1/sqrt(x)=0.867065 (0.866925)
22000: sqrt=1.158302 (1.158781)
22000: 1/sqrt(x)=0.863403 (0.862976)
22200: sqrt=1.163830 (1.164036)
22200: 1/sqrt(x)=0.859253 (0.859080)
22400: sqrt=1.168988 (1.169268)
22400: 1/sqrt(x)=0.855591 (0.855236)
22600: sqrt=1.174295 (1.174476)
22600: 1/sqrt(x)=0.851685 (0.851443)
22800: sqrt=1.179527 (1.179662)
22800: 1/sqrt(x)=0.847778 (0.847701)
23000: sqrt=1.184539 (1.184824)
23000: 1/sqrt(x)=0.844116 (0.844007)
23200: sqrt=1.189919 (1.189965)
23200: 1/sqrt(x)=0.840454 (0.840361)
23400: sqrt=1.194709 (1.195083)
23400: 1/sqrt(x)=0.837036 (0.836762)
23600: sqrt=1.200089 (1.200179)
23600: 1/sqrt(x)=0.833374 (0.833209)
23800: sqrt=1.204953 (1.205254)
23800: 1/sqrt(x)=0.829956 (0.829701)
24000: sqrt=1.209891 (1.210307)
24000: 1/sqrt(x)=0.826538 (0.826236)
24200: sqrt=1.215049 (1.215340)
24200: 1/sqrt(x)=0.823120 (0.822815)
24400: sqrt=1.219987 (1.220352)
24400: 1/sqrt(x)=0.819702 (0.819436)
24600: sqrt=1.225146 (1.225343)
24600: 1/sqrt(x)=0.816284 (0.816098)
24800: sqrt=1.229936 (1.230314)
24800: 1/sqrt(x)=0.812866 (0.812801)
25000: sqrt=1.235021 (1.235265)
25000: 1/sqrt(x)=0.809692 (0.809543)
25200: sqrt=1.239885 (1.240196)
25200: 1/sqrt(x)=0.806519 (0.806324)
25400: sqrt=1.244897 (1.245108)
25400: 1/sqrt(x)=0.803345 (0.803143)
25600: sqrt=1.249687 (1.250000)
25600: 1/sqrt(x)=0.800415 (0.800000)
25800: sqrt=1.254699 (1.254873)
25800: 1/sqrt(x)=0.796997 (0.796893)
26000: sqrt=1.259563 (1.259728)
26000: 1/sqrt(x)=0.794067 (0.793822)
26200: sqrt=1.264500 (1.264564)
26200: 1/sqrt(x)=0.790894 (0.790787)
26400: sqrt=1.268996 (1.269381)
26400: 1/sqrt(x)=0.788208 (0.787786)
26600: sqrt=1.273860 (1.274180)
26600: 1/sqrt(x)=0.785034 (0.784818)
26800: sqrt=1.278577 (1.278961)
26800: 1/sqrt(x)=0.782104 (0.781884)
27000: sqrt=1.283588 (1.283725)
27000: 1/sqrt(x)=0.779175 (0.778983)
27200: sqrt=1.288157 (1.288471)
27200: 1/sqrt(x)=0.776245 (0.776114)
27400: sqrt=1.293021 (1.293199)
27400: 1/sqrt(x)=0.773560 (0.773276)
27600: sqrt=1.297517 (1.297910)
27600: 1/sqrt(x)=0.770630 (0.770469)
27800: sqrt=1.302454 (1.302604)
27800: 1/sqrt(x)=0.767700 (0.767693)
28000: sqrt=1.307171 (1.307281)
28000: 1/sqrt(x)=0.765015 (0.764946)
28200: sqrt=1.311740 (1.311942)
28200: 1/sqrt(x)=0.762329 (0.762229)
28400: sqrt=1.316383 (1.316586)
28400: 1/sqrt(x)=0.759644 (0.759540)
28600: sqrt=1.321026 (1.321214)
28600: 1/sqrt(x)=0.756958 (0.756880)
